n,recurrence,sin
152,-0.999999999,-1.000000000
153,-0.980785280,-0.980785280
154,-0.923879532,-0.923879532
155,-0.831469612,-0.831469612
156,-0.707106781,-0.707106781
157,-0.555570233,-0.555570233
158,-0.382683432,-0.382683432
159,-0.195090322,-0.195090322
160,0.000000000,-0.000000000
161,0.195090322,0.195090322
162,0.382683432,0.382683432
163,0.555570233,0.555570233
164,0.707106781,0.707106781
165,0.831469612,0.831469612
166,0.923879532,0.923879532
167,0.980785280,0.980785280
168,0.999999999,1.000000000
169,0.980785280,0.980785280
170,0.923879532,0.923879532
171,0.831469612,0.831469612
172,0.707106781,0.707106781
173,0.555570233,0.555570233
174,0.382683432,0.382683432
175,0.195090322,0.195090322
176,-0.000000000,0.000000000
177,-0.195090322,-0.195090322
178,-0.382683432,-0.382683432
179,-0.555570233,-0.555570233
180,-0.707106781,-0.707106781
181,-0.831469612,-0.831469612
182,-0.923879532,-0.923879532
183,-0.980785280,-0.980785280
184,-0.999999999,-1.000000000
185,-0.980785280,-0.980785280
186,-0.923879532,-0.923879532
187,-0.831469612,-0.831469612
188,-0.707106781,-0.707106781
189,-0.555570233,-0.555570233
190,-0.382683432,-0.382683432
191,-0.195090322,-0.195090322
192,0.000000000,-0.000000000
193,0.195090322,0.195090322
194,0.382683432,0.382683432
195,0.555570233,0.555570233
196,0.707106781,0.707106781
197,0.831469612,0.831469612
198,0.923879532,0.923879532
199,0.980785280,0.980785280
